Experiment CUSExperiment_Detail
Getting higher resolution between 0 and 0.5 for Cobb-Douglas agents..
Experiment started 2015-04-20 173242

######################################################
Experiment Defaults:
                            setAgentType :,  	0
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                   setServicesImportance :,  	[0.0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5]
######################################################
*********************Job Settings*********************
                   setServicesImportance :	,0.0
 timestamp, job ID, setServicesImportance, packing, reduction
 2015-04-20 174928, 8,  0.35000000000000003,0.3101,0.2212
 2015-04-20 174932, 8,  0.35000000000000003,0.3572,0.2122
 2015-04-20 174936, 8,  0.35000000000000003,0.3911,0.2093
 2015-04-20 174941, 8,  0.35000000000000003,0.4408,0.2057
 2015-04-20 174945, 8,  0.35000000000000003,0.2767,0.2244
 2015-04-20 174949, 8,  0.35000000000000003,0.3089,0.2193
averages: ,,  0.35000000000000003,0.3607,0.2134
standard deviations: ,,  0.35000000000000003,0.0510,0.0062
*********************Job Settings*********************
                   setServicesImportance :	,0.4
 timestamp, job ID, setServicesImportance, packing, reduction
 2015-04-20 174953, 9,                  0.4,0.4587,0.2025
 2015-04-20 174958, 9,                  0.4,0.4968,0.1960
 2015-04-20 175002, 9,                  0.4,0.4891,0.1971
 2015-04-20 175006, 9,                  0.4,0.5228,0.1962
 2015-04-20 175010, 9,                  0.4,0.4181,0.2054
 2015-04-20 175015, 9,                  0.4,0.5349,0.1952
 2015-04-20 175019, 9,                  0.4,0.5344,0.1937
 2015-04-20 175023, 9,                  0.4,0.4480,0.2043
 2015-04-20 175027, 9,                  0.4,0.4936,0.2010
 2015-04-20 175032, 9,                  0.4,0.3899,0.2067
 2015-04-20 175036, 9,                  0.4,0.5277,0.1946
 2015-04-20 175041, 9,                  0.4,0.4230,0.2075
 2015-04-20 175045, 9,                  0.4,0.5084,0.1971
 2015-04-20 175050, 9,                  0.4,0.3834,0.2133
 2015-04-20 175054, 9,                  0.4,0.5275,0.1937
 2015-04-20 175058, 9,                  0.4,0.4683,0.2022
 2015-04-20 175102, 9,                  0.4,0.5312,0.1924
 2015-04-20 175107, 9,                  0.4,0.5067,0.1996
 2015-04-20 175111, 9,                  0.4,0.5272,0.1970
 2015-04-20 175115, 9,                  0.4,0.4037,0.2096
 2015-04-20 175120, 9,                  0.4,0.5176,0.1931
 2015-04-20 175124, 9,                  0.4,0.5248,0.1956
 2015-04-20 175128, 9,                  0.4,0.4634,0.2019
 2015-04-20 175133, 9,                  0.4,0.3656,0.2144
 2015-04-20 175137, 9,                  0.4,0.4730,0.2026
 2015-04-20 175141, 9,                  0.4,0.5408,0.1920
 2015-04-20 175146, 9,                  0.4,0.4874,0.1994
 2015-04-20 175150, 9,                  0.4,0.5527,0.1938
 2015-04-20 175154, 9,                  0.4,0.5205,0.1961
 2015-04-20 175158, 9,                  0.4,0.4183,0.2053
averages: ,,                  0.4,0.4819,0.2000
standard deviations: ,,                  0.4,0.0524,0.0061
*********************Job Settings*********************
                   setServicesImportance :	,0.45
 timestamp, job ID, setServicesImportance, packing, reduction
 2015-04-20 175203, 10,                 0.45,0.5356,0.1932
 2015-04-20 175207, 10,                 0.45,0.5656,0.1929
 2015-04-20 175211, 10,                 0.45,0.4988,0.1957
 2015-04-20 175216, 10,                 0.45,0.5225,0.1968
 2015-04-20 175220, 10,                 0.45,0.5584,0.1899
 2015-04-20 175224, 10,                 0.45,0.5163,0.1936
 2015-04-20 175228, 10,                 0.45,0.4881,0.1965
 2015-04-20 175232, 10,                 0.45,0.5191,0.1978
 2015-04-20 175237, 10,                 0.45,0.5260,0.1942
 2015-04-20 175241, 10,                 0.45,0.5359,0.1940
 2015-04-20 175245, 10,                 0.45,0.5844,0.1914
 2015-04-20 175249, 10,                 0.45,0.5861,0.1875
 2015-04-20 175254, 10,                 0.45,0.5235,0.1961
 2015-04-20 175258, 10,                 0.45,0.5572,0.1898
 2015-04-20 175302, 10,                 0.45,0.5230,0.1972
 2015-04-20 175306, 10,                 0.45,0.5025,0.1932
 2015-04-20 175311, 10,                 0.45,0.4800,0.2033
 2015-04-20 175315, 10,                 0.45,0.5864,0.1885
 2015-04-20 175319, 10,                 0.45,0.5460,0.1892
 2015-04-20 175323, 10,                 0.45,0.6099,0.1840
 2015-04-20 175328, 10,                 0.45,0.5854,0.1901
 2015-04-20 175332, 10,                 0.45,0.5780,0.1884
 2015-04-20 175336, 10,                 0.45,0.5908,0.1866
 2015-04-20 175341, 10,                 0.45,0.6257,0.1826
 2015-04-20 175345, 10,                 0.45,0.5087,0.1980
 2015-04-20 175349, 10,                 0.45,0.5173,0.1976
 2015-04-20 175353, 10,                 0.45,0.5468,0.1954
 2015-04-20 175358, 10,                 0.45,0.5661,0.1902
 2015-04-20 175402, 10,                 0.45,0.5574,0.1927
 2015-04-20 175406, 10,                 0.45,0.5715,0.1914
averages: ,,                 0.45,0.5471,0.1926
standard deviations: ,,                 0.45,0.0362,0.0045
*********************Job Settings*********************
                   setServicesImportance :	,0.5
 timestamp, job ID, setServicesImportance, packing, reduction
 2015-04-20 175410, 11,                  0.5,0.5894,0.1895
 2015-04-20 175415, 11,                  0.5,0.6030,0.1871
 2015-04-20 175419, 11,                  0.5,0.6465,0.1841
 2015-04-20 175423, 11,                  0.5,0.6245,0.1847
 2015-04-20 175428, 11,                  0.5,0.6173,0.1837
 2015-04-20 175432, 11,                  0.5,0.6069,0.1841
 2015-04-20 175436, 11,                  0.5,0.6792,0.1803
 2015-04-20 175440, 11,                  0.5,0.5980,0.1854
 2015-04-20 175445, 11,                  0.5,0.6418,0.1824
 2015-04-20 175449, 11,                  0.5,0.5710,0.1856
 2015-04-20 175453, 11,                  0.5,0.6411,0.1818
 2015-04-20 175457, 11,                  0.5,0.6463,0.1841
 2015-04-20 175502, 11,                  0.5,0.6265,0.1831
 2015-04-20 175506, 11,                  0.5,0.5564,0.1918
 2015-04-20 175510, 11,                  0.5,0.5832,0.1888
 2015-04-20 175514, 11,                  0.5,0.5988,0.1829
 2015-04-20 175519, 11,                  0.5,0.6270,0.1834
 2015-04-20 175523, 11,                  0.5,0.6327,0.1830
 2015-04-20 175527, 11,                  0.5,0.6319,0.1803
 2015-04-20 175532, 11,                  0.5,0.6054,0.1846
 2015-04-20 175536, 11,                  0.5,0.6218,0.1860
 2015-04-20 175541, 11,                  0.5,0.6235,0.1846
 2015-04-20 175545, 11,                  0.5,0.6092,0.1860
 2015-04-20 175550, 11,                  0.5,0.6116,0.1880
 2015-04-20 175554, 11,                  0.5,0.6332,0.1788
 2015-04-20 175558, 11,                  0.5,0.6515,0.1807
 2015-04-20 175603, 11,                  0.5,0.6183,0.1845
 2015-04-20 175607, 11,                  0.5,0.6000,0.1817
 2015-04-20 175611, 11,                  0.5,0.6191,0.1873
 2015-04-20 175615, 11,                  0.5,0.6054,0.1860
averages: ,,                  0.5,0.6174,0.1845
standard deviations: ,,                  0.5,0.0247,0.0028
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setServicesImportance, packing, reduction
 1,                  0.0,0.0468,0.2457
 2,                 0.05,0.0480,0.2458
 3,                  0.1,0.0555,0.2457
 4,  0.15000000000000002,0.0723,0.2444
 5,                  0.2,0.1009,0.2420
 6,                 0.25,0.1679,0.2349
 7,  0.30000000000000004,0.2640,0.2249
 8,  0.35000000000000003,0.3607,0.2134
 9,                  0.4,0.4819,0.2000
 10,                 0.45,0.5471,0.1926
 11,                  0.5,0.6174,0.1845
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setServicesImportance, packing, reduction
 1,                  0.0,0.0032,0.0005
 2,                 0.05,0.0039,0.0007
 3,                  0.1,0.0050,0.0007
 4,  0.15000000000000002,0.0090,0.0012
 5,                  0.2,0.0127,0.0016
 6,                 0.25,0.0256,0.0039
 7,  0.30000000000000004,0.0331,0.0042
 8,  0.35000000000000003,0.0510,0.0062
 9,                  0.4,0.0524,0.0061
 10,                 0.45,0.0362,0.0045
 11,                  0.5,0.0247,0.0028
######################################################
Experiment Completed 2015-04-20 175620
######################################################

